DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2020-08-08,Europe,Champions League,CUP,2020/2021,Tre Fiori,Linfield,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,SNV,SNV,SNV,0,SNV,0,0,0,SNV,SNV,SNV,0,SNV,0,0
2020-08-08,Europe,Champions League,CUP,2020/2021,Drita,Inter Club d'Escaldes,H,2,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,0,SNV,SNV,SNV,0,SNV,0,0,0,SNV,SNV,SNV,0,SNV,0,0
2020-08-18,Europe,Champions League,CUP,2020/2021,Celtic,KR,H,6,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,29,16,13,69,9,5,0,0,5,2,3,31,2,9,0,0
2020-08-18,Europe,Champions League,CUP,2020/2021,Dinamo Brest,Astana,H,6,3,H,4,1,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,39,3,6,1,0,19,10,9,61,10,9,0,0
2020-08-18,Europe,Champions League,CUP,2020/2021,Crvena Zvezda,Europa FC,H,5,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,22,9,13,70,6,11,1,0,5,3,2,30,0,8,3,0
2020-08-18,Europe,Champions League,CUP,2020/2021,Legia Warszawa,Linfield,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,71,9,16,1,0,2,2,0,29,1,12,4,1
2020-08-18,Europe,Champions League,CUP,2020/2021,QarabaÄŸ,Sileks,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,11,6,5,54,7,19,0,0,6,2,4,46,2,13,1,0
2020-08-19,Europe,Champions League,CUP,2020/2021,Dinamo Tbilisi,Tirana,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,3,5,70,10,SNV,3,0,8,4,4,30,2,SNV,3,0
2020-08-19,Europe,Champions League,CUP,2020/2021,Ararat-Armenia,Omonia Nicosia,A,0,1,D,0,0,A,0,1,N/A,N/A,N/A,3,0,3,48,4,28,4,1,5,2,3,52,6,25,5,0
2020-08-19,Europe,Champions League,CUP,2020/2021,Celje,Dundalk,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,18,8,10,50,4,16,1,0,14,5,9,50,3,8,2,0
2020-08-19,Europe,Champions League,CUP,2020/2021,Sheriff,Fola Esch,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,50,6,10,1,0,9,3,6,50,4,14,3,0
2020-08-19,Europe,Champions League,CUP,2020/2021,FerencvÃ¡ros,DjurgÃ¥rden,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,53,2,SNV,2,0,4,1,3,47,3,SNV,2,0
