MATCHID,MATCHDATE,COUNTRY,LEAGUE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,A_COR,H_COR,A_FL,H_FL,A_RC,H_RC
0,2020-08-08,Europe,Champions League,2020/2021,Tre Fiori,Linfield,A,0,2,0,0,SNV,SNV,0,0
1,2020-08-08,Europe,Champions League,2020/2021,Drita,Inter Club d'Escaldes,H,2,1,0,0,SNV,SNV,0,0
2,2020-08-18,Europe,Champions League,2020/2021,Celtic,KR,H,6,0,2,9,9,5,0,0
3,2020-08-18,Europe,Champions League,2020/2021,Dinamo Brest,Astana,H,6,3,10,3,9,6,0,0
4,2020-08-18,Europe,Champions League,2020/2021,Crvena Zvezda,Europa FC,H,5,0,0,6,8,11,0,0
5,2020-08-18,Europe,Champions League,2020/2021,Legia Warszawa,Linfield,H,1,0,1,9,12,16,1,0
6,2020-08-18,Europe,Champions League,2020/2021,Qarabag,Sileks,H,4,0,2,7,13,19,0,0
7,2020-08-19,Europe,Champions League,2020/2021,Dinamo Tbilisi,Tirana,A,0,2,2,10,SNV,SNV,0,0
8,2020-08-19,Europe,Champions League,2020/2021,Ararat-Armenia,Omonia Nicosia,A,0,1,6,4,25,28,0,1
9,2020-08-19,Europe,Champions League,2020/2021,Celje,Dundalk,H,3,0,3,4,8,16,0,0
10,2020-08-19,Europe,Champions League,2020/2021,Sheriff,Fola Esch,H,2,0,4,6,14,10,0,0
11,2020-08-19,Europe,Champions League,2020/2021,Ferencvarosi,Djurgarden,H,2,0,3,2,SNV,SNV,0,0
12,2020-08-19,Europe,Champions League,2020/2021,Buducnost ,Ludogorets,A,1,3,2,5,22,22,0,0
13,2020-08-19,Europe,Champions League,2020/2021,Floriana,CFR Cluj,A,0,2,5,3,SNV,SNV,0,0
14,2020-08-19,Europe,Champions League,2020/2021,Molde,KuPS,H,5,0,3,7,SNV,SNV,0,0
15,2020-08-19,Europe,Champions League,2020/2021,Flora,Suduva,D,1,1,3,5,16,10,0,0
16,2020-08-19,Europe,Champions League,2020/2021,Maccabi Tel Aviv,Riga,H,2,0,5,4,SNV,SNV,0,0
17,2020-08-19,Europe,Champions League,2020/2021,Connah's Quay,Sarajevo,A,0,2,3,2,15,14,0,0
18,2020-08-21,Europe,Champions League,2020/2021,KI,Slovan Bratislava,H,3,0,SNV,SNV,SNV,SNV,SNV,SNV
19,2020-08-25,Europe,Champions League,2020/2021,PAOK,Besiktas,H,3,1,8,1,14,27,0,0
20,2020-08-25,Europe,Champions League,2020/2021,Tirana,Crvena Zvezda,A,0,1,12,1,21,18,0,0
21,2020-08-26,Europe,Champions League,2020/2021,Lokomotiva Zagreb,Rapid Vienna,A,0,1,7,1,0,0,0,0
22,2020-08-26,Europe,Champions League,2020/2021,Celje,Molde,A,1,2,4,4,SNV,SNV,0,0
23,2020-08-26,Europe,Champions League,2020/2021,Qarabag,Sheriff,H,2,1,3,5,13,11,1,0
24,2020-08-26,Europe,Champions League,2020/2021,AZ Alkmaar,Viktoria,H,3,1,6,7,17,22,0,0
25,2020-08-26,Europe,Champions League,2020/2021,Suduva,Maccabi Tel Aviv,A,0,3,1,0,10,15,0,0
26,2020-08-26,Europe,Champions League,2020/2021,Celtic,Ferencvarosi,A,1,2,1,7,11,14,0,0
27,2020-08-26,Europe,Champions League,2020/2021,Young Boys,KI,H,3,1,1,1,15,13,0,0
28,2020-08-26,Europe,Champions League,2020/2021,Ludogorets,Midtjylland,A,0,1,7,2,19,14,0,0
29,2020-08-26,Europe,Champions League,2020/2021,Dinamo Brest,Sarajevo,H,2,1,8,4,17,11,0,0
30,2020-08-26,Europe,Champions League,2020/2021,Legia Warszawa,Omonia Nicosia,A,0,2,9,4,22,20,0,1
31,2020-08-26,Europe,Champions League,2020/2021,CFR Cluj,Dinamo Zagreb,D,2,2,5,10,16,17,1,0
32,2020-09-15,Europe,Champions League,2020/2021,PAOK,Benfica,H,2,1,10,2,15,13,0,0
33,2020-09-15,Europe,Champions League,2020/2021,Dynamo Kyiv,AZ Alkmaar,H,2,0,1,1,18,13,0,0
34,2020-09-15,Europe,Champions League,2020/2021,Gent,Rapid Vienna,H,2,1,4,1,15,15,0,0
35,2020-09-16,Europe,Champions League,2020/2021,Omonia Nicosia,Crvena Zvezda,D,1,1,10,7,SNV,SNV,0,0
36,2020-09-16,Europe,Champions League,2020/2021,Qarabag,Molde,D,0,0,2,4,17,15,0,0
37,2020-09-16,Europe,Champions League,2020/2021,Midtjylland,Young Boys,H,3,0,4,3,14,14,0,0
38,2020-09-16,Europe,Champions League,2020/2021,Ferencvarosi,Dinamo Zagreb,H,2,1,8,5,12,17,0,0
39,2020-09-16,Europe,Champions League,2020/2021,Maccabi Tel Aviv,Dinamo Brest,H,1,0,5,8,13,13,0,0
